REGISTRATION_NUMBER,STUDENT_NAME,STUDENT_GENDER,STUDENT_DEPARTMENT,STUDENT_CGPA,STUDENT_EMAILID,STUDENT_CONTACT_NUMBER
1,Joseph Johnson,Male,EIE,9.45,JosephJohnson@hotmail.com,9986711529
2,Steve Sloan,Female,EEE,5.79,SteveSloan@hotmail.com,9986924308
3,Erica Hickman,Female,EIE,7.27,EricaHickman@rediffmail.com,9986684406
4,Guy Coviello,Male,CSE,8.22,GuyCoviello@gmail.com,9986526789
5,John Mcclure,Female,EIE,9.47,JohnMcclure@gmail.com,9986349407
6,Joe Washington,Female,ECE,8.53,JoeWashington@yahoo.co.in,9986035121
7,Patricia Holland,Female,ECE,7.89,PatriciaHolland@gmail.com,9986367182
8,Wilma Alvarado,Male,Civil,6.71,WilmaAlvarado@rediffmail.com,9986805166
9,Robert Hill,Male,EEE,8.56,RobertHill@rediffmail.com,9986908381
10,Miranda House,Male,Mechanical,9.89,MirandaHouse@rediffmail.com,9986498886
11,Lisa Ketcher,Female,EEE,6.31,LisaKetcher@gmail.com,9986099385
12,Anthony Fierro,Male,ECE,8.6,AnthonyFierro@gmail.com,9986858611
13,Nellie Stoddard,Male,EEE,8.21,NellieStoddard@hotmail.com,9986759743
14,Linda Gallagher,Male,EIE,5.6,LindaGallagher@yahoo.co.in,9986893912
15,Brian Goldman,Male,CSE,6.75,BrianGoldman@yahoo.co.in,9986474416
16,Rudy Prechtl,Female,CSE,7.64,RudyPrechtl@rediffmail.com,9986056848
17,Shirley Kirkpatrick,Male,Civil,5.37,ShirleyKirkpatrick@yahoo.co.in,9986504577
18,Loretta Hernandez,Male,CSE,5.77,LorettaHernandez@yahoo.co.in,9986330096
19,Tracie Fournier,Female,Civil,6.62,TracieFournier@gmail.com,9986431444
20,Larry Sanborn,Male,CSE,5.46,LarrySanborn@yahoo.co.in,9986761731
21,Lynne White,Male,Mechanical,9.22,LynneWhite@yahoo.co.in,9986617384
22,Kristen Kunkle,Female,EIE,7.36,KristenKunkle@gmail.com,9986165045
23,Eddie Johnson,Female,EIE,6.38,EddieJohnson@yahoo.co.in,9986297598
24,Robert Odum,Male,ECE,7.27,RobertOdum@gmail.com,9986850769
25,Jacob Burns,Female,EEE,8.3,JacobBurns@rediffmail.com,9986030838
26,Bridget Mitchell,Male,EEE,6.79,BridgetMitchell@yahoo.co.in,9986331471
27,Ross Brown,Female,Mechanical,5.61,RossBrown@yahoo.co.in,9986883518
28,Lon Brown,Female,Mechanical,5.54,LonBrown@yahoo.co.in,9986210492
29,Idalia Rockwell,Female,Civil,5.74,IdaliaRockwell@yahoo.co.in,9986169022
30,Janie Chiodo,Male,Mechanical,6.99,JanieChiodo@rediffmail.com,9986287388
31,Richard Babb,Female,Civil,8.41,RichardBabb@yahoo.co.in,9986428709
32,Kenneth Mohn,Male,EEE,8.24,KennethMohn@yahoo.co.in,9986484213
33,Juan Walker,Female,EIE,5.09,JuanWalker@hotmail.com,9986458846
34,Alaina Watts,Male,CSE,5.13,AlainaWatts@yahoo.co.in,9986937193
35,Donna Taylor,Male,ECE,8.4,DonnaTaylor@rediffmail.com,9986469659
36,Cynthia Mccrimmon,Female,EIE,6.9,CynthiaMccrimmon@hotmail.com,9986646374
37,Lester Ward,Male,CSE,6.86,LesterWard@hotmail.com,9986805128
38,Janet Matthews,Female,Civil,6.86,JanetMatthews@gmail.com,9986611853
39,Troy Hooper,Female,ECE,6.91,TroyHooper@yahoo.co.in,9986510479
40,Gloria Carey,Male,Mechanical,7.59,GloriaCarey@gmail.com,9986081041
41,Mary Baker,Male,Civil,9.24,MaryBaker@yahoo.co.in,9986568313
42,Barbara Otto,Male,ECE,6.59,BarbaraOtto@gmail.com,9986767741
43,Kevin Jernigan,Female,Mechanical,5.65,KevinJernigan@gmail.com,9986589297
44,Tyrone Sarver,Female,CSE,5.53,TyroneSarver@rediffmail.com,9986351421
45,William Lesher,Male,ECE,7.05,WilliamLesher@gmail.com,9986736278
46,Joyce Green,Male,EIE,7.34,JoyceGreen@rediffmail.com,9986017129
47,Sara Lipscomb,Male,Civil,7.63,SaraLipscomb@gmail.com,9986879527
48,Rachel Trogdon,Male,Civil,6.36,RachelTrogdon@hotmail.com,9986717558
49,Erin Brown,Female,EEE,6.05,ErinBrown@hotmail.com,9986356909
50,Betty Shanahan,Female,ECE,9.92,BettyShanahan@rediffmail.com,9986108812
51,Charles Breedon,Male,Civil,8.76,CharlesBreedon@yahoo.co.in,9986502800
52,Will Johnson,Male,EEE,9.74,WillJohnson@yahoo.co.in,9986286301
53,Antonio Rodriguez,Male,Civil,6.75,AntonioRodriguez@hotmail.com,9986455820
54,Cindy Mcevoy,Male,CSE,9.91,CindyMcevoy@yahoo.co.in,9986266115
55,Faith Davila,Male,ECE,9.53,FaithDavila@yahoo.co.in,9986543468
56,Donald Davis,Female,Civil,5.27,DonaldDavis@gmail.com,9986443085
57,Christopher Pond,Female,EEE,8.82,ChristopherPond@hotmail.com,9986199192
58,Mildred Albers,Female,CSE,6.76,MildredAlbers@yahoo.co.in,9986510403
59,Philip Hoye,Male,CSE,5.93,PhilipHoye@rediffmail.com,9986131311
60,Gary Barajas,Female,Civil,8.59,GaryBarajas@yahoo.co.in,9986343777
