REGISTRATION_NUMBER,STUDENT_NAME,STUDENT_GENDER,STUDENT_DEPARTMENT,STUDENT_CGPA,STUDENT_EMAILID,STUDENT_CONTACT_NUMBER
1,Alice Medrano,Female,EEE,7.28,AliceMedrano@rediffmail.com,9986198074
2,Brian Hansen,Male,ECE,9.84,BrianHansen@yahoo.co.in,9986868165
3,Michael Holman,Male,ECE,7.43,MichaelHolman@yahoo.co.in,9986849947
4,Dona Jacobsen,Female,CSE,9.91,DonaJacobsen@gmail.com,9986299840
5,Lee Pierce,Male,EIE,7.67,LeePierce@yahoo.co.in,9986525245
6,Irene Lyons,Male,EIE,9.4,IreneLyons@yahoo.co.in,9986632113
7,Laura Dillon,Female,Mechanical,5.25,LauraDillon@rediffmail.com,9986350440
8,Debra Ruthledge,Female,ECE,8.21,DebraRuthledge@hotmail.com,9986889669
9,Lee Watkins,Female,Mechanical,9.41,LeeWatkins@rediffmail.com,9986174024
10,Lauren Iverson,Female,CSE,7.25,LaurenIverson@yahoo.co.in,9986761072
