REGISTRATION_NUMBER,STUDENT_NAME,STUDENT_GENDER,STUDENT_DEPARTMENT,STUDENT_CGPA,STUDENT_EMAILID,STUDENT_CONTACT_NUMBER
20181000001,Lisa Mccormick,Female,CSE,8.35,LisaMccormick@rediffmail.com,9986321079
20181000002,Douglas Townsand,Male,CSE,6.22,DouglasTownsand@rediffmail.com,9986424162
20181000003,Kristin Welch,Male,Mechanical,5.02,KristinWelch@hotmail.com,9986371563
20181000004,Robbie Johnson,Male,CSE,6.65,RobbieJohnson@yahoo.co.in,9986756200
20181000005,Tracy Taylor,Male,CSE,6.98,TracyTaylor@rediffmail.com,9986874617
20181000006,Aaron Pinsonnault,Female,EIE,5.13,AaronPinsonnault@rediffmail.com,9986052141
20181000007,Justin Randrup,Male,EIE,7.37,JustinRandrup@rediffmail.com,9986109298
20181000008,Leah Robinson,Female,CSE,9.14,LeahRobinson@rediffmail.com,9986522013
20181000009,Jeremy Daves,Female,CSE,8.31,JeremyDaves@gmail.com,9986074450
20181000010,Robert Penland,Female,ECE,8.86,RobertPenland@yahoo.co.in,9986651506
20181000011,Marcos Pride,Female,Civil,7.03,MarcosPride@gmail.com,9986345704
20181000012,John Moore,Female,Civil,6.65,JohnMoore@rediffmail.com,9986221098
20181000013,Fred Hernandez,Male,EIE,6.54,FredHernandez@gmail.com,9986535640
20181000014,Michael Colon,Male,EEE,6.21,MichaelColon@rediffmail.com,9986173418
20181000015,Melissa Chiarello,Male,ECE,5.51,MelissaChiarello@hotmail.com,9986808010
20181000016,Keith Ward,Male,CSE,8.16,KeithWard@yahoo.co.in,9986092387
20181000017,Tracey Collins,Female,Civil,8.78,TraceyCollins@rediffmail.com,9986360898
20181000018,Cruz Richarson,Female,CSE,6.86,CruzRicharson@hotmail.com,9986073266
20181000019,Sally Jones,Male,EEE,7.09,SallyJones@gmail.com,9986459851
20181000020,Elizabeth Weimer,Female,Civil,5.02,ElizabethWeimer@yahoo.co.in,9986857920
20181000021,Jennifer Guzman,Female,CSE,6.09,JenniferGuzman@rediffmail.com,9986879938
20181000022,Allen Felty,Male,EIE,9.06,AllenFelty@yahoo.co.in,9986678453
20181000023,Brett Sutton,Male,Civil,5.13,BrettSutton@rediffmail.com,9986412291
20181000024,Daryl Hopkins,Female,ECE,5.83,DarylHopkins@rediffmail.com,9986997398
20181000025,Donna Walker,Female,Mechanical,8.3,DonnaWalker@hotmail.com,9986109458
20181000026,Michael Ling,Male,CSE,7.78,MichaelLing@hotmail.com,9986140907
20181000027,Joann Crews,Male,CSE,6.16,JoannCrews@rediffmail.com,9986009292
20181000028,Chelsea Runnels,Female,CSE,6.64,ChelseaRunnels@gmail.com,9986410639
20181000029,Cherie Cresswell,Male,EEE,7.79,CherieCresswell@yahoo.co.in,9986287563
20181000030,Dana Provines,Female,Mechanical,9.17,DanaProvines@rediffmail.com,9986720955
20181000031,Leo White,Female,Mechanical,7.89,LeoWhite@yahoo.co.in,9986733686
20181000032,Iva Williams,Female,ECE,8.08,IvaWilliams@hotmail.com,9986197542
20181000033,Santiago Elliott,Female,CSE,9.75,SantiagoElliott@gmail.com,9986702530
20181000034,Candy Halford,Female,Civil,9.87,CandyHalford@rediffmail.com,9986405916
20181000035,Corey Love,Male,Mechanical,6.26,CoreyLove@gmail.com,9986219515
20181000036,Jeanne Boucher,Female,Civil,8.99,JeanneBoucher@yahoo.co.in,9986478900
20181000037,Lindsey Gardner,Female,EEE,5.74,LindseyGardner@gmail.com,9986447621
20181000038,Stanley Heath,Male,EIE,5.47,StanleyHeath@yahoo.co.in,9986487216
20181000039,Edwin Carrillo,Male,Civil,8.2,EdwinCarrillo@rediffmail.com,9986060883
20181000040,Patrick Ochoa,Male,Mechanical,8.4,PatrickOchoa@hotmail.com,9986170670
20181000041,Donald Hollinger,Female,EEE,7.13,DonaldHollinger@yahoo.co.in,9986404677
20181000042,Audrey Grant,Female,EEE,9.93,AudreyGrant@rediffmail.com,9986148342
20181000043,Stanley Cueto,Male,EIE,7.57,StanleyCueto@rediffmail.com,9986470258
20181000044,Shawn Simon,Female,ECE,6.25,ShawnSimon@rediffmail.com,9986675919
20181000045,Lamont Stutts,Male,ECE,9.57,LamontStutts@rediffmail.com,9986933259
20181000046,Betty Martin,Male,CSE,7.96,BettyMartin@gmail.com,9986014542
20181000047,Frank Metzger,Male,ECE,7.73,FrankMetzger@hotmail.com,9986340604
20181000048,Phil Ramirez,Female,EEE,7.67,PhilRamirez@rediffmail.com,9986143143
20181000049,Joseph Visser,Male,Mechanical,5.3,JosephVisser@rediffmail.com,9986506600
20181000050,Linda Ortiz,Female,EEE,8.0,LindaOrtiz@rediffmail.com,9986763573
