RegNo,Name,Gender,Department,CGPA,Email,Contact
20181001,Carol Morehead,Female,EIE,5.41,CarolMorehead@gmail.com,9986256842
20181002,Jessica Fitzgerald,Male,Civil,5.9,JessicaFitzgerald@gmail.com,9986636292
20181003,James Stevenson,Female,Civil,8.23,JamesStevenson@rediffmail.com,9986900166
20181004,Gloria Shaikh,Male,EIE,6.48,GloriaShaikh@yahoo.co.in,9986130880
20181005,Roger Davis,Male,Mechanical,8.31,RogerDavis@gmail.com,9986529378
20181006,Cynthia Castleman,Female,EEE,7.97,CynthiaCastleman@gmail.com,9986805773
20181007,Michael Brown,Male,CSE,9.02,MichaelBrown@rediffmail.com,9986789684
20181008,Otis Stice,Male,Mechanical,6.3,OtisStice@yahoo.co.in,9986262921
20181009,Peggy Harding,Female,EEE,5.1,PeggyHarding@hotmail.com,9986145255
20181010,Brooke Reiff,Female,EIE,9.44,BrookeReiff@gmail.com,9986047674
20181011,Rex Dennis,Male,EEE,7.13,RexDennis@gmail.com,9986838821
20181012,Juanita Zahn,Female,ECE,6.55,JuanitaZahn@hotmail.com,9986397797
20181013,Amelia Westbrook,Female,Civil,5.94,AmeliaWestbrook@rediffmail.com,9986699480
20181014,Joyce Miller,Male,EEE,7.72,JoyceMiller@yahoo.co.in,9986252372
20181015,Denny Anderson,Female,EEE,5.3,DennyAnderson@gmail.com,9986793746
20181016,Gerald Kuman,Female,EIE,6.37,GeraldKuman@rediffmail.com,9986235784
20181017,Henry Mccumber,Female,Mechanical,6.54,HenryMccumber@hotmail.com,9986174801
20181018,Jennifer Casteel,Male,ECE,8.09,JenniferCasteel@yahoo.co.in,9986476521
20181019,Maryann Ruff,Male,Mechanical,5.97,MaryannRuff@rediffmail.com,9986316576
20181020,Donald Laferriere,Female,ECE,6.29,DonaldLaferriere@rediffmail.com,9986876179
20181021,Barbara Dale,Male,CSE,8.54,BarbaraDale@hotmail.com,9986350039
20181022,Nadine Autry,Female,Mechanical,5.13,NadineAutry@gmail.com,9986768193
20181023,Alex Telles,Female,EIE,9.94,AlexTelles@yahoo.co.in,9986365874
20181024,Jennifer Reeves,Male,EIE,8.95,JenniferReeves@rediffmail.com,9986792711
20181025,Earl Olesen,Female,ECE,6.33,EarlOlesen@gmail.com,9986094987
20181026,Richard Smith,Male,EEE,5.94,RichardSmith@rediffmail.com,9986618510
20181027,Cassandra Lipscomb,Male,Mechanical,8.06,CassandraLipscomb@yahoo.co.in,9986182924
20181028,Sandra Collins,Male,Civil,6.61,SandraCollins@rediffmail.com,9986814256
20181029,Edward Skidmore,Female,Civil,9.0,EdwardSkidmore@yahoo.co.in,9986316411
20181030,Ida Johnson,Male,Civil,8.4,IdaJohnson@hotmail.com,9986844717
20181031,Courtney Veliz,Female,CSE,8.11,CourtneyVeliz@hotmail.com,9986135344
20181032,Heather Copeland,Male,Mechanical,8.03,HeatherCopeland@yahoo.co.in,9986501225
20181033,Edward Agan,Male,CSE,8.54,EdwardAgan@hotmail.com,9986432394
20181034,Karl Holland,Male,Civil,6.87,KarlHolland@yahoo.co.in,9986971574
20181035,Alissa Ray,Female,EIE,6.48,AlissaRay@yahoo.co.in,9986472294
20181036,Guadalupe Tomkins,Female,Civil,6.28,GuadalupeTomkins@yahoo.co.in,9986086150
20181037,Bernadette Freese,Male,CSE,5.43,BernadetteFreese@gmail.com,9986388688
20181038,Lillian Gordon,Male,CSE,9.41,LillianGordon@hotmail.com,9986705989
20181039,Lee Price,Male,EIE,6.39,LeePrice@hotmail.com,9986883844
20181040,Albert Grimes,Female,Civil,5.49,AlbertGrimes@rediffmail.com,9986225887
20181041,Edith Cegielski,Male,Civil,8.28,EdithCegielski@hotmail.com,9986866594
20181042,Debbie Doggett,Male,EIE,9.03,DebbieDoggett@rediffmail.com,9986219984
20181043,David Clough,Female,EEE,6.47,DavidClough@hotmail.com,9986772069
20181044,Robert Dietz,Female,Mechanical,7.03,RobertDietz@hotmail.com,9986509754
20181045,Robert Mcdaniel,Male,CSE,8.36,RobertMcdaniel@yahoo.co.in,9986564932
20181046,Carina Delapaz,Female,CSE,8.44,CarinaDelapaz@yahoo.co.in,9986851037
20181047,Robert Berger,Female,EEE,8.61,RobertBerger@yahoo.co.in,9986743725
20181048,Judy Clay,Female,CSE,8.03,JudyClay@gmail.com,9986041667
20181049,Jim Richter,Female,Mechanical,9.76,JimRichter@gmail.com,9986453065
20181050,Shawn Pinter,Male,EEE,6.3,ShawnPinter@gmail.com,9986302509
20181051,Todd Hernandez,Female,ECE,6.43,ToddHernandez@yahoo.co.in,9986392095
20181052,Claire Paul,Female,CSE,7.37,ClairePaul@rediffmail.com,9986579458
20181053,Terry Amos,Male,EEE,7.87,TerryAmos@hotmail.com,9986590497
20181054,Grace Pouncil,Male,Civil,5.51,GracePouncil@hotmail.com,9986543412
20181055,Audrey Westbrook,Female,Civil,7.07,AudreyWestbrook@rediffmail.com,9986189851
20181056,Erika Talley,Female,EEE,5.19,ErikaTalley@rediffmail.com,9986028099
20181057,Angel Cork,Female,EIE,9.17,AngelCork@gmail.com,9986610740
20181058,James Larocque,Female,Civil,8.39,JamesLarocque@yahoo.co.in,9986921888
20181059,Kay Robare,Female,Civil,7.83,KayRobare@rediffmail.com,9986683640
20181060,Tony Trinidad,Male,Mechanical,8.82,TonyTrinidad@rediffmail.com,9986589282
20181061,Cierra Lamb,Male,EIE,5.5,CierraLamb@rediffmail.com,9986284169
20181062,Shirley Cardona,Female,Civil,7.93,ShirleyCardona@hotmail.com,9986846392
20181063,Roger Wood,Female,EEE,6.54,RogerWood@rediffmail.com,9986888467
20181064,Virginia Miller,Male,CSE,5.06,VirginiaMiller@gmail.com,9986215171
20181065,Danny Swaim,Female,ECE,7.14,DannySwaim@yahoo.co.in,9986603088
20181066,Kimberly Wagner,Male,EEE,8.66,KimberlyWagner@hotmail.com,9986100793
20181067,Lawrence Leonard,Female,EIE,6.0,LawrenceLeonard@hotmail.com,9986753668
20181068,Daniel Reichman,Male,Mechanical,8.6,DanielReichman@rediffmail.com,9986567518
20181069,Danielle Flood,Male,EEE,9.65,DanielleFlood@yahoo.co.in,9986920198
20181070,Angelina Clark,Female,CSE,7.33,AngelinaClark@gmail.com,9986438912
20181071,Blanche Jackson,Female,Mechanical,5.88,BlancheJackson@gmail.com,9986538755
20181072,Carole Brady,Female,EEE,9.34,CaroleBrady@rediffmail.com,9986114986
20181073,Clarence Reeves,Female,EEE,9.22,ClarenceReeves@yahoo.co.in,9986159491
20181074,Salvatore Irwin,Female,CSE,8.34,SalvatoreIrwin@hotmail.com,9986203270
20181075,Rogelio Townley,Male,EIE,5.64,RogelioTownley@gmail.com,9986665477
20181076,Jack Hubert,Male,Civil,5.29,JackHubert@yahoo.co.in,9986535781
20181077,Felix Anderson,Male,Civil,9.57,FelixAnderson@rediffmail.com,9986309779
20181078,Dominic Canby,Female,Mechanical,5.09,DominicCanby@yahoo.co.in,9986399634
20181079,Steven Hawkins,Male,ECE,5.76,StevenHawkins@gmail.com,9986202295
20181080,Amy Leslie,Female,Civil,6.59,AmyLeslie@gmail.com,9986557938
20181081,Hannah Molloy,Male,ECE,5.34,HannahMolloy@gmail.com,9986162255
20181082,Harrison Carver,Male,CSE,9.25,HarrisonCarver@gmail.com,9986246470
20181083,Michael Miles,Female,EIE,5.22,MichaelMiles@yahoo.co.in,9986859719
20181084,Angela Mcelveen,Female,CSE,7.7,AngelaMcelveen@gmail.com,9986574655
20181085,Mary Beltran,Male,Mechanical,9.69,MaryBeltran@rediffmail.com,9986579695
20181086,Ruth Holland,Female,ECE,5.38,RuthHolland@hotmail.com,9986576489
20181087,Alfredo Melanson,Male,CSE,8.97,AlfredoMelanson@gmail.com,9986733751
20181088,Simone Brantley,Male,EEE,7.13,SimoneBrantley@hotmail.com,9986679234
20181089,Michael Millhouse,Female,Civil,6.23,MichaelMillhouse@gmail.com,9986118608
20181090,Sharon Brewton,Male,EIE,8.43,SharonBrewton@hotmail.com,9986016084
20181091,Marc Mcmahon,Female,CSE,9.39,MarcMcmahon@gmail.com,9986784337
20181092,Brenda Woods,Female,Civil,7.5,BrendaWoods@gmail.com,9986542762
