RegNo,Name,Gender,Department,CGPA,Email,Contact
1,Joe Carter,Male,EIE,8.95,Joe Carter@gmail.com,9986465583
2,Andrew Henderson,Female,EIE,7.32,Andrew Henderson@gmail.com,9986159982
3,Julie Sears,Female,ECE,8.6,Julie Sears@yahoo.co.in,9986926565
4,Sheila Gonzales,Male,CSE,9.87,Sheila Gonzales@yahoo.co.in,9986957876
5,Dorothy Johnson,Female,EIE,5.72,Dorothy Johnson@gmail.com,9986764654
6,William Oconnell,Female,ECE,6.6,William Oconnell@rediffmail.com,9986462923
7,Sharron Parra,Male,CSE,5.61,Sharron Parra@yahoo.co.in,9986714622
8,Daniel Sparks,Male,Mechanical,6.88,Daniel Sparks@yahoo.co.in,9986743542
9,Marjorie Armstrong,Male,CSE,5.78,Marjorie Armstrong@yahoo.co.in,9986823157
10,Cathleen Stone,Male,EIE,8.5,Cathleen Stone@rediffmail.com,9986922708
11,Jesse Sylvester,Female,CSE,6.74,Jesse Sylvester@hotmail.com,9986707039
12,Mariano Snow,Male,CSE,8.35,Mariano Snow@gmail.com,9986255578
13,Katherine Langenfeld,Male,EIE,5.11,Katherine Langenfeld@gmail.com,9986093809
14,Donald Wallace,Female,EEE,9.64,Donald Wallace@hotmail.com,9986934221
15,Donna Smith,Female,CSE,5.25,Donna Smith@hotmail.com,9986023756
16,Fred Turner,Male,Civil,9.08,Fred Turner@hotmail.com,9986779791
17,Tanya Hudson,Male,Civil,9.21,Tanya Hudson@gmail.com,9986910908
18,Raymond Delallo,Male,EEE,5.3,Raymond Delallo@gmail.com,9986405502
19,Wayne Ennenga,Female,ECE,8.13,Wayne Ennenga@rediffmail.com,9986105840
20,Patrica Martin,Male,EEE,9.81,Patrica Martin@rediffmail.com,9986972483
21,Thomas Reese,Female,Mechanical,5.84,Thomas Reese@gmail.com,9986299350
22,Gregory Christensen,Female,Mechanical,6.4,Gregory Christensen@rediffmail.com,9986958688
23,Treva Halls,Male,Mechanical,7.78,Treva Halls@rediffmail.com,9986085430
24,Cecelia Smith,Male,EEE,5.93,Cecelia Smith@rediffmail.com,9986749930
25,Cynthia Boysen,Male,Civil,5.2,Cynthia Boysen@rediffmail.com,9986449676
26,Mary Todd,Male,Mechanical,9.04,Mary Todd@hotmail.com,9986816493
27,Kathleen Benedict,Female,Mechanical,7.97,Kathleen Benedict@gmail.com,9986244259
28,John Stiltner,Female,Civil,6.13,John Stiltner@yahoo.co.in,9986072302
29,Jose Terry,Female,Mechanical,9.78,Jose Terry@hotmail.com,9986626641
30,Laverne Leak,Female,EIE,8.63,Laverne Leak@yahoo.co.in,9986174562
31,Raymond Hobbs,Male,EEE,5.13,Raymond Hobbs@yahoo.co.in,9986499393
32,Carolyn Saine,Male,EIE,7.24,Carolyn Saine@gmail.com,9986504935
33,Elizabeth Berry,Female,Civil,9.07,Elizabeth Berry@rediffmail.com,9986640498
34,Amanda Ebert,Female,Civil,6.76,Amanda Ebert@rediffmail.com,9986883928
35,Donald Robertson,Male,Mechanical,5.55,Donald Robertson@rediffmail.com,9986316335
36,Jessica Barham,Female,EEE,7.56,Jessica Barham@gmail.com,9986582470
