REGISTRATION_NUMBER,STUDENT_NAME,STUDENT_GENDER,STUDENT_DEPARTMENT,STUDENT_CGPA,STUDENT_EMAILID,STUDENT_CONTACT_NUMBER
2017000001,Beverly Villanueva,Male,Civil,8.56,BeverlyVillanueva@yahoo.co.in,9986203378
2017000002,James Heffner,Female,Mechanical,6.76,JamesHeffner@gmail.com,9986014427
2017000003,Gilbert Goodhart,Female,EIE,8.58,GilbertGoodhart@hotmail.com,9986864319
2017000004,Norman Harris,Male,EEE,5.73,NormanHarris@yahoo.co.in,9986997777
2017000005,Betty Kane,Female,ECE,8.83,BettyKane@hotmail.com,9986927080
2017000006,Larry Washington,Male,Civil,5.07,LarryWashington@gmail.com,9986600636
2017000007,Anna Mulvey,Female,ECE,7.75,AnnaMulvey@rediffmail.com,9986863614
2017000008,Mildred Thornburg,Male,EIE,9.41,MildredThornburg@hotmail.com,9986147640
2017000009,Katherine Robins,Female,EIE,7.85,KatherineRobins@yahoo.co.in,9986356263
2017000010,Gloria Hager,Female,ECE,9.22,GloriaHager@gmail.com,9986407455
2017000011,Barry Bardon,Male,Civil,9.61,BarryBardon@gmail.com,9986539161
2017000012,Bryan Huggins,Male,ECE,9.64,BryanHuggins@gmail.com,9986329079
2017000013,Eva Washington,Female,Civil,6.21,EvaWashington@yahoo.co.in,9986669492
2017000014,Tyrone Turman,Female,EIE,6.54,TyroneTurman@rediffmail.com,9986638340
2017000015,Jonathan Gutierrez,Female,CSE,9.44,JonathanGutierrez@hotmail.com,9986954331
2017000016,Kimberley Bell,Male,ECE,6.33,KimberleyBell@yahoo.co.in,9986283476
2017000017,Tiffany Sewell,Female,CSE,9.05,TiffanySewell@hotmail.com,9986177108
2017000018,Britany Payan,Male,CSE,7.66,BritanyPayan@gmail.com,9986674813
2017000019,Denise Villarreal,Female,EEE,9.42,DeniseVillarreal@hotmail.com,9986870857
2017000020,Sheila Herzig,Male,ECE,9.21,SheilaHerzig@hotmail.com,9986012681
2017000021,Billie Mayo,Male,EEE,6.25,BillieMayo@gmail.com,9986318308
2017000022,Melissa Garcia,Female,EIE,8.12,MelissaGarcia@hotmail.com,9986115628
2017000023,Carolyn Herald,Male,ECE,7.33,CarolynHerald@yahoo.co.in,9986749545
2017000024,Gabriel Bird,Female,CSE,8.37,GabrielBird@gmail.com,9986299567
2017000025,Harry Lee,Female,Civil,7.41,HarryLee@gmail.com,9986478760
2017000026,Wm Spirko,Male,Mechanical,8.21,WmSpirko@hotmail.com,9986412022
2017000027,Naomi Edward,Female,EIE,7.08,NaomiEdward@yahoo.co.in,9986193126
2017000028,Stanley Kern,Female,Mechanical,9.13,StanleyKern@hotmail.com,9986698422
2017000029,Jerry Selva,Female,Mechanical,5.4,JerrySelva@yahoo.co.in,9986614758
2017000030,Jane Leonard,Male,Civil,9.16,JaneLeonard@rediffmail.com,9986980017
2017000031,Daniel Fontenot,Female,ECE,6.52,DanielFontenot@yahoo.co.in,9986242175
2017000032,Gwendolyn Oneill,Male,EIE,7.75,GwendolynOneill@gmail.com,9986620269
2017000033,Norman Demaria,Male,ECE,5.68,NormanDemaria@yahoo.co.in,9986164177
2017000034,Ashley Alix,Female,EEE,6.59,AshleyAlix@rediffmail.com,9986898346
2017000035,Annette Casillas,Male,Mechanical,5.42,AnnetteCasillas@rediffmail.com,9986878378
2017000036,Maria Ramirez,Female,CSE,7.81,MariaRamirez@yahoo.co.in,9986807973
2017000037,Mary Schubbe,Female,CSE,7.34,MarySchubbe@gmail.com,9986397503
2017000038,Evelyn Begay,Male,Civil,7.72,EvelynBegay@yahoo.co.in,9986066234
2017000039,Naomi Gerrior,Male,Civil,6.06,NaomiGerrior@gmail.com,9986877813
2017000040,Grace Gebo,Female,Mechanical,8.53,GraceGebo@yahoo.co.in,9986327693
2017000041,Mariela Minchew,Female,CSE,8.36,MarielaMinchew@rediffmail.com,9986018344
2017000042,Charles Powell,Female,EEE,9.28,CharlesPowell@hotmail.com,9986643047
2017000043,Jennifer Gurrola,Male,CSE,7.01,JenniferGurrola@rediffmail.com,9986010973
2017000044,Nicholas Ramirez,Female,ECE,9.65,NicholasRamirez@yahoo.co.in,9986753819
2017000045,Janelle Merrigan,Female,EEE,7.98,JanelleMerrigan@yahoo.co.in,9986592305
2017000046,Gerald Mcclain,Male,ECE,6.21,GeraldMcclain@hotmail.com,9986349292
2017000047,David Galloway,Female,EEE,9.43,DavidGalloway@gmail.com,9986946643
2017000048,Samuel Hartman,Male,EIE,8.58,SamuelHartman@rediffmail.com,9986933817
2017000049,Robert Miller,Female,ECE,8.04,RobertMiller@rediffmail.com,9986896379
2017000050,Jane Lewicki,Male,ECE,5.46,JaneLewicki@gmail.com,9986352700
2017000051,Bernard Jackson,Female,Mechanical,5.39,BernardJackson@gmail.com,9986910082
2017000052,Joseph Neal,Male,CSE,7.03,JosephNeal@yahoo.co.in,9986970121
2017000053,Louis Miller,Male,EIE,6.61,LouisMiller@hotmail.com,9986899485
2017000054,Paul Torres,Female,Mechanical,8.09,PaulTorres@yahoo.co.in,9986412374
2017000055,Mel Rzepecki,Male,Civil,7.57,MelRzepecki@yahoo.co.in,9986453000
2017000056,Elisha Nicholas,Male,Civil,6.34,ElishaNicholas@gmail.com,9986866384
2017000057,Antoinette Medina,Female,Mechanical,7.89,AntoinetteMedina@hotmail.com,9986064581
2017000058,Martha Mason,Male,ECE,5.21,MarthaMason@rediffmail.com,9986020792
2017000059,James Webster,Female,Mechanical,6.3,JamesWebster@hotmail.com,9986416332
2017000060,Herbert Brown,Female,Mechanical,8.91,HerbertBrown@gmail.com,9986849421
2017000061,Kelsey Sipriano,Female,ECE,6.82,KelseySipriano@rediffmail.com,9986090583
2017000062,Margaret Cahal,Male,EEE,5.14,MargaretCahal@hotmail.com,9986492119
2017000063,Timothy Blum,Female,Mechanical,6.85,TimothyBlum@hotmail.com,9986351661
2017000064,Ryan Goodfellow,Female,ECE,5.63,RyanGoodfellow@rediffmail.com,9986140229
2017000065,Dan Leach,Female,CSE,7.57,DanLeach@gmail.com,9986715876
2017000066,Joette Williams,Female,Mechanical,8.47,JoetteWilliams@rediffmail.com,9986103075
2017000067,David Dowd,Male,EEE,6.85,DavidDowd@rediffmail.com,9986008798
2017000068,Lionel Umana,Male,ECE,7.48,LionelUmana@rediffmail.com,9986468536
2017000069,Daniel Nickels,Male,CSE,9.96,DanielNickels@rediffmail.com,9986594822
2017000070,Thelma Kovacs,Female,CSE,8.08,ThelmaKovacs@gmail.com,9986270924
2017000071,Angelica Guadalupe,Female,Mechanical,5.71,AngelicaGuadalupe@yahoo.co.in,9986451730
2017000072,James Miller,Male,EEE,7.53,JamesMiller@rediffmail.com,9986829360
2017000073,Sue Moreno,Male,Civil,7.94,SueMoreno@gmail.com,9986787953
2017000074,Robert Holbrook,Male,EIE,6.61,RobertHolbrook@rediffmail.com,9986973656
2017000075,Kevin Hyde,Female,Civil,6.96,KevinHyde@yahoo.co.in,9986578628
2017000076,Jenifer Adams,Female,CSE,7.88,JeniferAdams@hotmail.com,9986532066
2017000077,Mary Johnston,Female,ECE,7.23,MaryJohnston@hotmail.com,9986906736
2017000078,Jack Fugate,Female,CSE,8.53,JackFugate@rediffmail.com,9986347986
2017000079,James Leachman,Female,Civil,9.2,JamesLeachman@hotmail.com,9986776028
2017000080,Eula Pence,Male,CSE,9.69,EulaPence@gmail.com,9986557665
2017000081,Patricia Dunlap,Female,Civil,9.69,PatriciaDunlap@rediffmail.com,9986619074
2017000082,Jasmine Carreras,Female,ECE,5.43,JasmineCarreras@gmail.com,9986361444
2017000083,Jose Reyes,Female,CSE,9.38,JoseReyes@rediffmail.com,9986814326
2017000084,Jonathan Franklin,Male,EEE,6.27,JonathanFranklin@yahoo.co.in,9986586126
2017000085,Ronald Degeorge,Male,EIE,6.58,RonaldDegeorge@gmail.com,9986375142
2017000086,Tim Bell,Female,CSE,5.75,TimBell@yahoo.co.in,9986706920
2017000087,Willie Crowe,Male,ECE,8.78,WillieCrowe@rediffmail.com,9986917510
2017000088,Ray Schwartz,Female,CSE,9.55,RaySchwartz@gmail.com,9986983059
2017000089,Virgil Patton,Male,Civil,7.96,VirgilPatton@gmail.com,9986374872
2017000090,Asa Richey,Male,EEE,8.63,AsaRichey@hotmail.com,9986178558
2017000091,Jean Hughes,Male,EEE,5.77,JeanHughes@hotmail.com,9986663928
2017000092,Karen Diaz,Female,EIE,7.98,KarenDiaz@rediffmail.com,9986997094
2017000093,John Williamson,Female,Civil,9.68,JohnWilliamson@hotmail.com,9986468731
2017000094,Mathew Coleman,Female,EEE,7.06,MathewColeman@rediffmail.com,9986085039
2017000095,Aleen Jentzsch,Male,CSE,6.75,AleenJentzsch@yahoo.co.in,9986337780
2017000096,George Love,Male,Civil,5.75,GeorgeLove@rediffmail.com,9986780103
2017000097,Marisa Jasso,Female,Civil,7.36,MarisaJasso@hotmail.com,9986022184
2017000098,John Pemberton,Male,EEE,7.93,JohnPemberton@gmail.com,9986214990
2017000099,Pamela Alfaro,Female,EEE,8.5,PamelaAlfaro@rediffmail.com,9986330315
2017000100,Anna Stephens,Female,ECE,6.59,AnnaStephens@rediffmail.com,9986928145
2017000101,Marvin Constable,Female,ECE,9.69,MarvinConstable@gmail.com,9986661776
2017000102,Mary Chirino,Male,EIE,5.67,MaryChirino@gmail.com,9986617955
2017000103,Arthur Miller,Male,ECE,6.96,ArthurMiller@hotmail.com,9986737354
2017000104,Robert Salamy,Female,ECE,8.05,RobertSalamy@yahoo.co.in,9986208058
2017000105,Laura Shepherd,Male,EIE,9.7,LauraShepherd@gmail.com,9986956011
2017000106,Deborah Cobb,Female,Civil,5.61,DeborahCobb@hotmail.com,9986329520
2017000107,Christine Abbott,Male,Civil,8.19,ChristineAbbott@hotmail.com,9986950141
2017000108,Irma Xiong,Female,EIE,7.83,IrmaXiong@rediffmail.com,9986665884
2017000109,Mark Williams,Male,ECE,9.57,MarkWilliams@yahoo.co.in,9986728663
2017000110,Rory Warren,Female,Mechanical,8.07,RoryWarren@yahoo.co.in,9986846852
2017000111,Christine Long,Female,EIE,6.11,ChristineLong@rediffmail.com,9986808245
2017000112,Mary Ricker,Female,Civil,5.62,MaryRicker@hotmail.com,9986409967
2017000113,Sierra Salizar,Male,Mechanical,6.6,SierraSalizar@yahoo.co.in,9986458875
2017000114,Vera Andes,Male,ECE,9.55,VeraAndes@gmail.com,9986460015
2017000115,Daniel Smith,Female,ECE,9.76,DanielSmith@gmail.com,9986202248
2017000116,Edward Zunich,Female,Mechanical,7.67,EdwardZunich@gmail.com,9986017153
2017000117,Bruce Sheridan,Male,ECE,8.54,BruceSheridan@hotmail.com,9986148599
2017000118,Sandra Rudge,Male,EIE,5.62,SandraRudge@gmail.com,9986253199
2017000119,Ted Stanley,Male,EIE,7.46,TedStanley@yahoo.co.in,9986517717
2017000120,Linda Cargo,Female,Civil,6.74,LindaCargo@hotmail.com,9986568226
2017000121,Donnie Robbins,Female,EIE,8.41,DonnieRobbins@rediffmail.com,9986287832
2017000122,Betty Preece,Female,EIE,7.88,BettyPreece@hotmail.com,9986545665
2017000123,Robbie Wells,Male,EIE,5.32,RobbieWells@hotmail.com,9986558838
2017000124,Patrick Jones,Female,Mechanical,6.87,PatrickJones@yahoo.co.in,9986366694
2017000125,Stephen Woodley,Female,Civil,9.76,StephenWoodley@hotmail.com,9986309255
2017000126,Terry Lee,Female,ECE,8.37,TerryLee@yahoo.co.in,9986589106
2017000127,Nita Kinley,Female,Civil,6.62,NitaKinley@hotmail.com,9986038400
2017000128,Laura Richardson,Female,EEE,5.45,LauraRichardson@yahoo.co.in,9986984399
2017000129,Frank Brighton,Male,Civil,8.79,FrankBrighton@hotmail.com,9986912487
2017000130,Herbert Peters,Male,EIE,7.32,HerbertPeters@rediffmail.com,9986900698
2017000131,Susan Hall,Female,CSE,5.86,SusanHall@rediffmail.com,9986882059
2017000132,Chelsie Barrow,Male,EEE,7.36,ChelsieBarrow@yahoo.co.in,9986560273
