REGISTRATION_NUMBER,STUDENT_NAME,STUDENT_GENDER,STUDENT_DEPARTMENT,STUDENT_CGPA,STUDENT_EMAILID,STUDENT_CONTACT_NUMBER
2017000001,Brain Eisner,Female,Mechanical,7.67,BrainEisner@yahoo.co.in,9986643360
2017000002,James Ray,Female,Mechanical,8.61,JamesRay@gmail.com,9986783855
2017000003,Pamela Nash,Male,CSE,5.07,PamelaNash@gmail.com,9986600673
2017000004,Virginia Peralta,Female,EIE,6.1,VirginiaPeralta@gmail.com,9986599958
2017000005,Wayne Sutton,Male,CSE,8.49,WayneSutton@yahoo.co.in,9986731640
2017000006,Robert Stones,Female,ECE,6.25,RobertStones@rediffmail.com,9986444653
2017000007,Stephen Hodgkin,Female,Mechanical,6.58,StephenHodgkin@rediffmail.com,9986555651
2017000008,Frank Calvillo,Female,ECE,6.84,FrankCalvillo@rediffmail.com,9986871889
2017000009,Helen Barnhart,Female,Mechanical,9.96,HelenBarnhart@gmail.com,9986336088
2017000010,Arthur Morgan,Female,ECE,6.18,ArthurMorgan@gmail.com,9986393263
2017000011,Michael Huber,Female,ECE,8.68,MichaelHuber@yahoo.co.in,9986747463
2017000012,Joyce Gregory,Male,ECE,7.26,JoyceGregory@hotmail.com,9986177282
2017000013,Beverly Weekley,Female,ECE,5.34,BeverlyWeekley@gmail.com,9986915525
2017000014,Roxane Pinkowski,Female,Mechanical,5.95,RoxanePinkowski@gmail.com,9986891833
2017000015,Mary Wysong,Male,ECE,8.18,MaryWysong@rediffmail.com,9986665464
2017000016,Earl Deane,Female,EIE,8.37,EarlDeane@yahoo.co.in,9986430166
2017000017,Thelma Williams,Male,Mechanical,6.33,ThelmaWilliams@rediffmail.com,9986799214
2017000018,Kathleen Marquez,Female,Civil,8.51,KathleenMarquez@rediffmail.com,9986963402
2017000019,Mitchel Vanhandel,Male,Civil,9.51,MitchelVanhandel@gmail.com,9986094214
2017000020,Gary Shirley,Male,EIE,7.86,GaryShirley@rediffmail.com,9986216028
2017000021,Patricia Guzma,Male,EIE,9.25,PatriciaGuzma@rediffmail.com,9986101188
2017000022,Judy Lay,Male,Mechanical,7.08,JudyLay@gmail.com,9986945647
2017000023,Maria Kidd,Male,ECE,6.56,MariaKidd@gmail.com,9986214030
2017000024,Jennifer Jennison,Male,Mechanical,8.93,JenniferJennison@rediffmail.com,9986503728
2017000025,Katherine Aldred,Male,EIE,9.95,KatherineAldred@hotmail.com,9986523129
2017000026,Laura Jones,Male,ECE,7.97,LauraJones@gmail.com,9986320997
2017000027,Michele Daigle,Male,ECE,8.57,MicheleDaigle@yahoo.co.in,9986109848
2017000028,Kenneth Johnson,Male,CSE,6.04,KennethJohnson@yahoo.co.in,9986182628
2017000029,Brian Norris,Female,EIE,6.44,BrianNorris@gmail.com,9986756647
2017000030,Melissa Haugen,Male,Civil,9.34,MelissaHaugen@yahoo.co.in,9986638308
2017000031,Angel Park,Female,Civil,9.34,AngelPark@yahoo.co.in,9986435984
2017000032,Charles Bosma,Male,CSE,6.38,CharlesBosma@gmail.com,9986787676
2017000033,Yvette Hutto,Female,EIE,8.41,YvetteHutto@yahoo.co.in,9986019294
2017000034,Melissa Smith,Female,ECE,9.06,MelissaSmith@yahoo.co.in,9986397953
2017000035,Russell Gallaher,Male,Civil,5.17,RussellGallaher@rediffmail.com,9986917671
2017000036,Vivian Mcnulty,Male,ECE,7.19,VivianMcnulty@hotmail.com,9986085714
2017000037,Maria Corcoran,Female,ECE,5.99,MariaCorcoran@rediffmail.com,9986270908
2017000038,Alice Pena,Male,Civil,8.61,AlicePena@hotmail.com,9986973033
2017000039,Dorothy Lee,Male,EIE,7.55,DorothyLee@rediffmail.com,9986774336
2017000040,Peter Mohamed,Male,Mechanical,9.38,PeterMohamed@hotmail.com,9986061193
2017000041,Coy Preece,Female,EIE,5.3,CoyPreece@yahoo.co.in,9986283612
2017000042,Maya Harris,Male,CSE,5.12,MayaHarris@hotmail.com,9986177218
2017000043,Linda Wilks,Male,ECE,7.22,LindaWilks@yahoo.co.in,9986093102
2017000044,Glenn Ziegler,Male,EEE,8.05,GlennZiegler@rediffmail.com,9986853366
2017000045,Charles Contreras,Female,CSE,7.89,CharlesContreras@rediffmail.com,9986234414
2017000046,Donna Sabin,Female,CSE,8.79,DonnaSabin@rediffmail.com,9986955438
2017000047,Marissa Stewart,Male,EEE,10.0,MarissaStewart@rediffmail.com,9986218777
2017000048,Natalie Klitz,Female,Civil,6.45,NatalieKlitz@gmail.com,9986639417
2017000049,Paul King,Male,CSE,6.72,PaulKing@hotmail.com,9986070740
2017000050,Romeo Hurley,Female,Mechanical,5.26,RomeoHurley@hotmail.com,9986804419
2017000051,Stanley Vick,Female,ECE,9.81,StanleyVick@rediffmail.com,9986730179
2017000052,Ashley Osborne,Female,EIE,5.99,AshleyOsborne@rediffmail.com,9986765082
2017000053,Justin Ryan,Male,Civil,8.24,JustinRyan@rediffmail.com,9986046891
2017000054,Bonnie Johnson,Female,EEE,6.69,BonnieJohnson@yahoo.co.in,9986413232
2017000055,Jesse Conkle,Female,Mechanical,9.24,JesseConkle@rediffmail.com,9986074317
2017000056,Paul Gonzalez,Male,Mechanical,6.51,PaulGonzalez@gmail.com,9986655853
2017000057,Josephine Hockenberry,Male,Mechanical,9.96,JosephineHockenberry@yahoo.co.in,9986756496
2017000058,Adam Jarvis,Male,Civil,9.43,AdamJarvis@gmail.com,9986187072
2017000059,James Davis,Female,Civil,5.05,JamesDavis@yahoo.co.in,9986251944
2017000060,Dan Mills,Female,Civil,5.57,DanMills@gmail.com,9986480220
2017000061,Linda Burns,Female,ECE,9.26,LindaBurns@hotmail.com,9986918615
2017000062,Linda Robertson,Female,EEE,9.29,LindaRobertson@rediffmail.com,9986726634
2017000063,Celina Melton,Male,Mechanical,9.74,CelinaMelton@gmail.com,9986697804
2017000064,Richard Smith,Male,Mechanical,9.16,RichardSmith@rediffmail.com,9986555920
2017000065,Jesse Guzman,Male,CSE,9.26,JesseGuzman@yahoo.co.in,9986175142
2017000066,Marion Green,Male,CSE,5.51,MarionGreen@rediffmail.com,9986962951
2017000067,Donald Rase,Female,CSE,8.55,DonaldRase@rediffmail.com,9986875245
2017000068,Matthew Wood,Female,Mechanical,6.63,MatthewWood@gmail.com,9986561919
2017000069,Cordell Boone,Male,EEE,7.77,CordellBoone@yahoo.co.in,9986073667
2017000070,John Best,Male,EIE,8.53,JohnBest@hotmail.com,9986887431
2017000071,Christina Goldfeder,Female,Mechanical,7.07,ChristinaGoldfeder@rediffmail.com,9986248016
2017000072,Bernardo Black,Male,CSE,8.53,BernardoBlack@gmail.com,9986161394
2017000073,Maya Dender,Female,CSE,6.85,MayaDender@hotmail.com,9986552658
2017000074,Lee Pankratz,Male,ECE,6.78,LeePankratz@rediffmail.com,9986597452
2017000075,Krissy Daugherty,Female,CSE,8.79,KrissyDaugherty@yahoo.co.in,9986166658
2017000076,John Dente,Female,ECE,9.9,JohnDente@rediffmail.com,9986832888
2017000077,Robert Linares,Female,EIE,5.32,RobertLinares@yahoo.co.in,9986107357
